sha,author,message
a70b88aa31e1245f8495b1bd320f148960bdcc42,JoaoFelipe,"#20, #59: Improve depth configuration  and fix With slicing"
8bbd8d8dd56d1a4043c15ee3e05b12bb4ef1b45f,JoaoFelipe,#20: improve depth configuration
932dec8dd4a0aee0de0ff97d2bc12862df9780b2,JoaoFelipe,#58: Invoke debugger
d6af33d1a93816568c26c97c121d303c1c6737d1,JoaoFelipe,Fix now vis loading icon and description
e9436873699aebd1e7552fe5eb2eae865bb67bda,JoaoFelipe,Using 2to3 to reduce number of incompatibilities between python 2 and 3
d0ba47caca1935f822996a1c707df496a348d87f,JoaoFelipe,Fix module capture in Python 3
d279f7e8889d44d718070982868ca6d91725c96b,JoaoFelipe,"Version 0.11.1
Fix python 3 bugs, add optional instrumentation, fix module diff bug"
9eaa81b97abe8731f10e6674b4945dbfbf4c9775,JoaoFelipe,Update readme
01afe3bfd6a1befedaa09c9be71c4954c3a50d17,JoaoFelipe,#57: Add prefix to access fact id for disambiguation and add TaPP paper to readme
58a2b5fc6f598c123764c03cc0f208b6fba91509,JoaoFelipe,"TaPP paper, poster and examples"
73bfb0fd2ecd5198a38342e2ada4a61b9462f12a,JoaoFelipe,Magics for SQL and Prolog Schemas
b3a8cf17f11192c33772506685b0e898e5e27153,JoaoFelipe,Merge branch 'master' of https://github.com/gems-uff/noworkflow
00001e823e608ae46b17faaddda015f7b9b88171,JoaoFelipe,Find module in trial
546ed38f4d98b10f06831c9dc1af66f4eb72108b,JoaoFelipe,#56: interactive mode
34f8c687b15cedef39e5afbaafc93d62b23d7445,JoaoFelipe,Fix module messages on deployment collection
ae43aa9735a643198f6877cc140e924042bc5fcb,JoaoFelipe,Fix globals and open
573c30dfdae96d341a8625d0e53e2fdb3ce0c75d,leomurta,"Removing ack to JetBrains, as we do not use PyCharm anymore."
3b2d3dcd2c48147c0de1ad3235aa22c45f0b0407,JoaoFelipe,Diff edges. Calculate time to generate diff. FIx graph size setup. Button to hide part of activation name when it is the main script. Replace ctrl click
07936823cec9f8302d3f4be6d34b182584a92c42,JoaoFelipe,Version 0.10.0
f241e91454891476752976fbd382670863280a90,JoaoFelipe,"#49: Small fixes, docs, ipython notebook"
20a4639406aa70e9a13bf9a02d457257b064a25b,JoaoFelipe,#55: loading icon for ajax operations
4f1aee425632552873d27778418c2786c9db5ca5,JoaoFelipe,#49: Time limit for vnd. New now vis interface. Browser history navigation
94c04d1c2902832c37e30e3bec73140d8ebd962d,JoaoFelipe,Fiz activation graph edge count bug
3e5c534827b1eefe26948d57dda98ca2e6844d3e,JoaoFelipe,#49: use vnd for matching graphs
0b8602c6087209d53740e6ee6d2222f9041a6c63,JoaoFelipe,Fix activation graph bug
