author,total,Start of the Week,Deletions,Additions,Commits
braganholo,35,2015-03-21 21:00:00,0,0,0
braganholo,35,2015-03-28 21:00:00,0,0,0
braganholo,35,2015-04-04 21:00:00,0,0,0
braganholo,35,2015-04-11 21:00:00,0,0,0
braganholo,35,2015-04-18 21:00:00,0,0,0
braganholo,35,2015-04-25 21:00:00,0,0,0
braganholo,35,2015-05-02 21:00:00,0,0,0
braganholo,35,2015-05-09 21:00:00,0,0,0
braganholo,35,2015-05-16 21:00:00,0,0,0
braganholo,35,2015-05-23 21:00:00,0,0,0
braganholo,35,2015-05-30 21:00:00,0,0,0
braganholo,35,2015-06-06 21:00:00,0,0,0
braganholo,35,2015-06-13 21:00:00,0,0,0
braganholo,35,2015-06-20 21:00:00,0,0,0
braganholo,35,2015-06-27 21:00:00,0,0,0
braganholo,35,2015-07-04 21:00:00,0,0,0
braganholo,35,2015-07-11 21:00:00,0,0,0
braganholo,35,2015-07-18 21:00:00,0,0,0
braganholo,35,2015-07-25 21:00:00,0,0,0
braganholo,35,2015-08-01 21:00:00,0,0,0
braganholo,35,2015-08-08 21:00:00,0,0,0
braganholo,35,2015-08-15 21:00:00,0,0,0
braganholo,35,2015-08-22 21:00:00,0,0,0
braganholo,35,2015-08-29 21:00:00,0,0,0
braganholo,35,2015-09-05 21:00:00,0,0,0
braganholo,35,2015-09-12 21:00:00,0,0,0
braganholo,35,2015-09-19 21:00:00,0,0,0
braganholo,35,2015-09-26 21:00:00,0,0,0
braganholo,35,2015-10-03 21:00:00,0,0,0
braganholo,35,2015-10-10 21:00:00,0,0,0
braganholo,35,2015-10-17 21:00:00,0,0,0
braganholo,35,2015-10-24 22:00:00,0,0,0
braganholo,35,2015-10-31 22:00:00,0,0,0
braganholo,35,2015-11-07 22:00:00,0,0,0
braganholo,35,2015-11-14 22:00:00,0,0,0
braganholo,35,2015-11-21 22:00:00,0,0,0
braganholo,35,2015-11-28 22:00:00,0,0,0
